Image_Number	PMCID	PMID	Title	Journal	Publication_Date	visually detect problem colors (Shades of red, green, and orange)	Contrasts mitigate problem	Labels mitigate problem	Distance mitigates problem	Conclusion (5 types listed in drop down)	Notes
1541	PMC8005235	33773578	Measuring the educational environment in a Sri Lankan medical school following curricular revision	BMC Medical Education	3/28/2021	FALSE				Gray-scale	
1542	PMC3304125	22438723	Video Sensor Architecture for Surveillance Applications	Sensors (Basel, Switzerland)	2/3/2012	FALSE				Definitely okay	
1543	PMC10427291	37588521	The Siberian Paleolithic site of Mal'ta: a unique source for the study of childhood archaeology	Evolutionary Human Sciences	1/28/2021	FALSE				Definitely okay	
1544	PMC6020288	29945677	Heterosexual men who purchase sex and attended an STI clinic in Israel: characteristics and sexual behavior	Israel Journal of Health Policy Research	6/27/2018	FALSE				Gray-scale	
1545	PMC6150240	29072621	Synthesis and 2D-QSAR Study of Active Benzofuran-Based Vasodilators	Molecules : A Journal of Synthetic Chemistry and Natural Product Chemistry	10/26/2017	FALSE				Definitely okay	
1546	PMC5135769	27980680	HOXA repression is mediated by nucleoporin Nup93 assisted by its interactors Nup188 and Nup205	Epigenetics &#x00026; Chromatin	12/3/2016	FALSE				Definitely okay	
1547	PMC5403105	28403108	Analyses and treatments of postoperative nasal complications after endonasal transsphenoidal resection of pituitary neoplasms	Medicine	4/14/2017	TRUE	N	N	N	Definitely problematic	
1548	PMC7325299	32605637	Cardio-toxicity among patients with sarcoma: a cardio-oncology registry	BMC Cancer	6/30/2020	TRUE	Y	N	N	Definitely okay	
1549	PMC7463005	32528119	Ibuprofen mediates histone modification to diminish cancer cell stemness properties via a COX2-dependent manner	British Journal of Cancer	9/1/2020	TRUE	Y	Y	N	Definitely okay	
1550	PMC8512074	34641218	Enhancement of the Processability and Properties of Nylon 6 by Blending with Polyketone	Polymers	10/3/2021	TRUE	Y	Y	N	Definitely okay	
1551	PMC9504338	36145604	Mechanistic Understanding of the Palmitoylation of G Protein in the Allosteric Regulation of Adhesion Receptor GPR97	Pharmaceutics	9/2/2022	TRUE	NA	NA	Y	Definitely okay	
1552	PMC6851141	31719529	Genome-wide association study of eosinophilic granulomatosis with polyangiitis reveals genomic loci stratified by ANCA status	Nature Communications	11/12/2019	TRUE	Y	Y	Y	Definitely okay	
1553	PMC7972373	33856326	Transfer of Patients with Spontaneous Intracranial Hemorrhage who Need External Ventricular Drain: Does Admission Location Matter?	Western Journal of Emergency Medicine	3/12/2021	FALSE				Gray-scale	
1554	PMC6364412	30727955	Global host molecular perturbations upon in situ loss of bacterial endosymbionts in the deep-sea mussel assessed using proteomics and transcriptomics	BMC Genomics	2/6/2019	FALSE				Definitely okay	
1555	PMC6400931	30837583	Cooling of a vial in a snapfreezing device without using sacrificial cryogens	Scientific Reports	3/5/2019	FALSE				Gray-scale	
1556	PMC6002524	29904096	The relationship between reinforcement and explicit control during visuomotor adaptation	Scientific Reports	6/14/2018	FALSE				Definitely okay	
1557	PMC5876387	29599430	intermediates provide insight into the mechanism of eukaryotic replicative transposition	Nature Communications	3/29/2018	TRUE	NA	NA	Y	Definitely okay	
1558	PMC3863895	24256739	A mHealth Application for Chronic Wound Care: Findings of a User Trial	International Journal of Environmental Research and Public Health	11/19/2013	TRUE	Y	NA	N	Definitely okay	
1559	PMC7464575	32824691	Hydrolytic Degradation of Porous Crosslinked Poly(&#x003b5;-Caprolactone) Synthesized by High Internal Phase Emulsion Templating	Polymers	8/18/2020	FALSE				Definitely okay	
1560	PMC9144505	35632313	MIS-Like Structures with Silicon-Rich Oxide Films Obtained by HFCVD: Their Response as Photodetectors	Sensors (Basel, Switzerland)	5/21/2022	FALSE				Definitely okay	
1561	PMC5823399	29470518	Universal scaling laws in metro area election results	PLoS ONE	2/22/2018	FALSE				Definitely okay	
1562	PMC3681921	23785469	Identification and Analysis of Putative Homologues of Mechanosensitive Channels in Pathogenic Protozoa	PLoS ONE	6/13/2013	FALSE				Definitely okay	
1563	PMC4094520	25014359	Lantibiotic Immunity: Inhibition of Nisin Mediated Pore Formation by NisI	PLoS ONE	7/11/2014	FALSE				Gray-scale	
1564	PMC4354923	25830092	FTO is necessary for the induction of leptin resistance by high-fat feeding	Molecular Metabolism	2/7/2015	FALSE				Gray-scale	
1565	PMC8410836	34471114	Rational design of hyperstable antibacterial peptides for food preservation	NPJ Science of Food	9/1/2021	TRUE	Y	Y	N	Definitely okay	
1566	PMC4146587	25162401	Inference of Gene Regulatory Networks Incorporating Multi-Source Biological Knowledge via a State Space Model with 1 Regularization	PLoS ONE	8/27/2014	TRUE	Y	NA	Y	Definitely okay	
1567	PMC7336770	32695460	The crystal structure, Hirshfeld surface analysis and energy frameworks of 2-[2-(meth&#x000ad;oxy&#x000ad;carbon&#x000ad;yl)-3,6-bis&#x000ad;(meth&#x000ad;oxy&#x000ad;meth&#x000ad;oxy)phen&#x000ad;yl]acetic acid	Acta Crystallographica Section E: Crystallographic Communications	6/19/2020	TRUE	Y	N	N	Definitely okay	
1568	PMC4350982	25656224	A RESTful interface to pseudonymization services in modern web applications	BMC Medical Informatics and Decision Making	2/7/2015	FALSE				Gray-scale	
1569	PMC8927148	35296764	Factors related to the location of pigment epithelial detachment in central serous chorioretinopathy	Scientific Reports	3/16/2022	FALSE				Definitely okay	
1570	PMC3515131	23284358	3&#x02032;-Ferrocenylcarbon&#x000ad;yl-1&#x02032;-methyl-4&#x02032;-phenyl&#x000ad;spiro&#x000ad;[indeno&#x000ad;[2,3-]quinoxaline-11,2&#x02032;-pyrrolidine]	Acta Crystallographica Section E: Structure Reports Online	10/20/2012	TRUE	Y	N	N	Definitely okay	
1571	PMC9738395	36501744	Balancing of Motor Armature Based on LSTM-ZPF Signal Processing	Sensors (Basel, Switzerland)	11/22/2022	FALSE				Definitely okay	
1572	PMC8707660	34947042	Combination of Strobilurin and Triazole Chemicals for the Management of Blast Disease in Mushk Budji -Aromatic Rice	Journal of Fungi	12/10/2021	FALSE				Definitely okay	
1573	PMC4564569	26285130	The use of statins for the treatment of depression in patients with acute coronary syndrome	Translational Psychiatry	8/18/2015	FALSE				Definitely okay	
1574	PMC9514989	35606412	IgG4-positive plasma cells in nonspecific sialadenitis and sialolithiasis	Modern Pathology	5/23/2022	FALSE				Definitely okay	
1575	PMC4086335	25031877	Microcystic Variant of an Intraosseous Meningioma in the Frontal Area: A Case Report	Case Reports in Neurological Medicine	6/17/2014	FALSE				Definitely okay	
1576	PMC6586700	31006825	Structural correlates of attention dysfunction in Lewy body dementia and Alzheimer&#x02019;s disease: an ex-Gaussian analysis	Journal of Neurology	4/21/2019	FALSE				Definitely okay	
1577	PMC4334660	25692577	Why Do Cryptic Species Tend Not to Co-Occur? A Case Study on Two Cryptic Pairs of Butterflies	PLoS ONE	2/18/2015	FALSE				Definitely okay	
1578	PMC6014522	27917694	Outcomes of kidney transplantation in Alport syndrome compared with other forms of renal disease	Renal Failure	12/5/2016	FALSE				Gray-scale	
1579	PMC7246635	32349271	Structure&#x02013;Activity Relationship of RGD-Containing Cyclic Octapeptide and &#x003b1;v&#x003b2;3 Integrin Allows for Rapid Identification of a New Peptide Antagonist	International Journal of Molecular Sciences	4/27/2020	FALSE				Definitely okay	
1580	PMC6187692	30424185	A Micromachined Coupled-Cantilever for Piezoelectric Energy Harvesters	Micromachines	5/21/2018	FALSE				Definitely okay	
1581	PMC6698016	31419966	Association of hypoxia-inducible factor-1&#x003b1; (HIF1&#x003b1;) 1790G/A gene polymorphism with renal cell carcinoma and prostate cancer susceptibility: a meta-analysis	BMC Medical Genetics	8/16/2019	FALSE				Definitely okay	
1582	PMC8706416	34946505	Scientifically Formulated Avocado Fruit Juice: Phytochemical Analysis, Assessment of Its Antioxidant Potential and Consumer Perception	Molecules	12/7/2021	TRUE	NA	NA	Y	Definitely okay	
1583	PMC7070812	32070031	Virtual Screening Approach to Identify High-Affinity Inhibitors of Serum and Glucocorticoid-Regulated Kinase 1 among Bioactive Natural Products: Combined Molecular Docking and Simulation Studies	Molecules	2/13/2020	TRUE	Y	N	N	Probably problematic	Not likely enough contrast in gradient
1584	PMC8590803	34824910	Adding pieces to the puzzle: insights into diversity and distribution patterns of Cumacea (Crustacea: Peracarida) from the deep North Atlantic to the Arctic Ocean	PeerJ	11/11/2021	TRUE	Y	N	Y	Definitely okay	
1585	PMC5434671	28510823	Investigation of metabolites accumulation in medical plant during different growing stage using LC-MS/MS and FT-IR	Botanical Studies	5/27/2015	TRUE	Y	N	N	Definitely okay	
1586	PMC9414017	36046641	Circ_0039908/miR-let-7c/RRM2 axis was identified played an important role in lung adenocarcinoma by integrated analysis	Journal of Cancer	7/18/2022	TRUE	Y	N	N	Definitely okay	
1587	PMC3859531	24349761	Monitoring Therapeutic Treatments against Infections Using Imaging Techniques	Pathogens	5/23/2013	FALSE				Gray-scale	
1588	PMC8622903	34829424	Neck Disability Index Is Better in Classification of Recovery after Whiplash Injury in Comparison with Ultrasound Shear Wave Elastography of Trapezius Muscle	Diagnostics	11/10/2021	FALSE				Definitely okay	
1589	PMC7796323	33374368	The Effects of Green and Urban Walking in Different Time Frames on Physio-Psychological Responses of Middle-Aged and Older People in Chengdu, China	International Journal of Environmental Research and Public Health	1/24/2021	FALSE				Definitely okay	
1590	PMC8460367	34567100	The Short-Term Load Forecasting for Special Days Based on Bagged Regression Trees in Qingdao, China	Computational Intelligence and Neuroscience	9/15/2021	FALSE				Definitely okay	
1591	PMC4490800	26191059	Detection of PCR Cloning	Frontiers in Microbiology	7/3/2015	FALSE				Gray-scale	
1592	PMC3909302	24443900	Economic burden of seasonal influenza B in France during winter 2010-2011	BMC Public Health	1/20/2014	FALSE				Gray-scale	
1593	PMC4125965	24107093	An update on the impact of pre-transplant transfusions and allosensitization on time to renal transplant and on allograft survival	BMC Nephrology	10/10/2013	FALSE				Gray-scale	
1594	PMC8224021	34063875	How to Differentiate Gout, Calcium Pyrophosphate Deposition Disease, and Osteoarthritis Using Just Four Clinical Parameters	Diagnostics	5/21/2021	FALSE				Definitely okay	
1595	PMC8616036	34830975	Magnetometer-Guided Sentinel Lymph Node Dissection in Prostate Cancer: Rate of Lymph Node Involvement Compared with Radioisotope Marking	Cancers	11/20/2021	FALSE				Gray-scale	
1596	PMC9261172	35798784	Longitudinal changes in auditory and reward systems following receptive music-based intervention in older adults	Scientific Reports	7/7/2022	FALSE				Definitely okay	
1597	PMC8102833	33968136	A Population-Specific Major Allele Reference Genome From The United Arab Emirates Population	Frontiers in Genetics	4/23/2021	TRUE	Y	N	N	Definitely okay	
1598	PMC3924450	24368429	Variation in the Distribution of Four Cacti Species Due to Climate Change in Chihuahua, Mexico	International Journal of Environmental Research and Public Health	1/24/2014	FALSE				Definitely okay	
1599	PMC8492896	34630274	Involvement of Specialist Palliative Care in a Stroke Unit in Austria&#x02014;Challenges for Families and Stroke Teams	Frontiers in Neurology	9/22/2021	FALSE				Definitely okay	
1600	PMC4169404	25233366	Single Walled Carbon Nanotube-Based Junction Biosensor for Detection of	PLoS ONE	9/18/2014	FALSE				Gray-scale	
1601	PMC8668733	34938443	A resource for understanding and evaluating outcomes of undergraduate field experiences	Ecology and Evolution	11/19/2021	FALSE				Definitely okay	
1602	PMC8174097	34095131	IGF1-Stimulated Posttraumatic Hippocampal Remodeling Is Not Dependent on mTOR	Frontiers in Cell and Developmental Biology	5/20/2021	FALSE				Definitely okay	
1603	PMC6099625	29702574	ParaBTM: A Parallel Processing Framework for Biomedical Text Mining on Supercomputers	Molecules : A Journal of Synthetic Chemistry and Natural Product Chemistry	4/27/2018	FALSE				Gray-scale	
1604	PMC3621102	23497526	Neurodevelopmental alcohol exposure elicits long-term changes to gene expression that alter distinct molecular pathways dependent on timing of exposure	Journal of Neurodevelopmental Disorders	3/13/2013	TRUE	Y	Y	N	Definitely okay	
1605	PMC9713824	36466900	Low fish meal diet supplemented with probiotics ameliorates intestinal barrier and immunological function of the targeted modulation of gut microbes and derived secondary metabolites	Frontiers in Immunology	11/17/2022	FALSE				Definitely okay	
1606	PMC5963693	29796335	TALEN-Mediated FLAG-Tagging of Endogenous Histone Methyltransferase DOT1L	Advances in bioscience and biotechnology (Print)	9/22/2017	FALSE				Gray-scale	
1607	PMC6724174	31430925	Far-Red Light Acclimation for Improved Mass Cultivation of Cyanobacteria	Metabolites	8/19/2019	FALSE				Definitely okay	
1608	PMC9933062	36451264	Assessing the impact of privacy-preserving record linkage on record overlap and patient demographic and clinical characteristics in PCORnet, the National Patient-Centered Clinical Research Network	Journal of the American Medical Informatics Association : JAMIA	11/30/2022	FALSE				Definitely okay	
1609	PMC9697694	36432260	Jute Fibers Synergy with nZVI/GO: Superficial Properties Enhancement for Arsenic Removal in Water with Possible Application in Dynamic Flow Filtration Systems	Nanomaterials	11/11/2022	TRUE	Y	N	N	Definitely okay	
1610	PMC7369757	32610511	Acute Effects of Open Kinetic Chain Exercise Versus Those of Closed Kinetic Chain Exercise on Quadriceps Muscle Thickness in Healthy Adults	International Journal of Environmental Research and Public Health	7/29/2020	FALSE				Definitely okay	
1611	PMC3364996	22675429	Therapeutic Validity and Effectiveness of Preoperative Exercise on Functional Recovery after Joint Replacement: A Systematic Review and Meta-Analysis	PLoS ONE	5/31/2012	FALSE				Gray-scale	
1612	PMC5751758	29297324	Subject-independent emotion recognition based on physiological signals: a three-stage decision method	BMC Medical Informatics and Decision Making	12/20/2017	FALSE				Gray-scale	
1613	PMC8316472	34315885	Extracellular vesicles and exosomes generated from cystic renal epithelial cells promote cyst growth in autosomal dominant polycystic kidney disease	Nature Communications	7/27/2021	TRUE	NA	NA	Y	Definitely okay	
1614	PMC7559334	32957731	Brain Activity during Different Throwing Games: EEG Exploratory Study	International Journal of Environmental Research and Public Health	9/17/2020	FALSE				Definitely okay	
1615	PMC9329954	35892455	Ultra-Small and Metabolizable Near-Infrared Au/Gd Nanoclusters for Targeted FL/MRI Imaging and Cancer Theranostics	Biosensors	7/24/2022	FALSE				Definitely okay	
1616	PMC7018138	32053676	Safety and effectiveness of a novel neuroprotectant, KUS121, in patients with non-arteritic central retinal artery occlusion: An open-label, non-randomized, first-in-humans, phase 1/2 trial	PLoS ONE	2/13/2020	FALSE				Gray-scale	
1617	PMC4385306	25852436	Biosynthesis of gold nanoparticles assisted by the intracellular protein extract of and its catalysis in degradation of 4-nitroaniline	Nanoscale Research Letters	3/25/2015	FALSE				Definitely okay	
1618	PMC7923115	33670503	The Foliar Application of Rice Phyllosphere Bacteria induces Drought-Stress Tolerance in (L.)	Plants	2/18/2021	FALSE				Gray-scale	
1619	PMC6987093	31992690	Polymerase independent repression of promoter	Cell Death &#x00026; Disease	1/28/2020	FALSE				Gray-scale	
1620	PMC7997970	33771992	Nonlinear machine learning pattern recognition and bacteria-metabolite multilayer network analysis of perturbed gastric microbiome	Nature Communications	3/26/2021	FALSE				Definitely okay	
1621	PMC4650350	26576951	Co-occurrence of resistance genes to antibiotics, biocides and metals reveals novel insights into their co-selection potential	BMC Genomics	11/17/2015	FALSE				Definitely okay	
1622	PMC8324201	34234027	Improving Services for HIV-Exposed Infants in Zambia and Cameroon Using a Quality Improvement Collaborative Approach	Global Health: Science and Practice	6/30/2021	FALSE				Definitely okay	
1623	PMC5640819	29062267	Design and Preliminary Feasibility Study of a Soft Robotic Glove for Hand Function Assistance in Stroke Survivors	Frontiers in Neuroscience	10/9/2017	FALSE				Definitely okay	
1624	PMC7506759	32825013	Cognitive Relevance Transform for Population Re-Targeting	Sensors (Basel, Switzerland)	8/19/2020	FALSE				Definitely okay	
1625	PMC9327821	35501973	Transitional care for patients with acute stroke&#x02014;A priority&#x02010;setting project	Health Expectations : An International Journal of Public Participation in Health Care and Health Policy	8/2/2022	FALSE				Definitely okay	
1626	PMC3976365	24705579	Mechanisms of Nerve Capping Technique in Prevention of Painful Neuroma Formation	PLoS ONE	4/4/2014	FALSE				Gray-scale	
1627	PMC4320179	25674443	The influence of body mass index and outdoor temperature on the autonomic response to eating in healthy young Japanese women	SpringerPlus	3/14/2014	FALSE				Gray-scale	
1628	PMC8666312	33012775	Parental Working Hours and Children&#x02019;s Sedentary Time: A Cross-sectional Analysis of the J-SHINE	Journal of Epidemiology	1/5/2022	FALSE				Gray-scale	
1629	PMC5612693	28945799	The riddle of mitochondrial alkaline/neutral invertases: A novel Arabidopsis isoform mainly present in reproductive tissues and involved in root ROS production	PLoS ONE	9/25/2017	TRUE	Y	N	Y	Definitely okay	
1630	PMC9340678	35915480	Differences in epidemiology of enteropathogens in children pre- and post-rotavirus vaccine introduction in Kilifi, coastal Kenya	Gut Pathogens	8/1/2022	FALSE				Gray-scale	
1631	PMC9740991	36502141	HyScreen: A Ground-Based Imaging System for High-Resolution Red and Far-Red Solar-Induced Chlorophyll Fluorescence	Sensors (Basel, Switzerland)	12/2/2022	TRUE	Y	N	N	Probably okay	Colors issue fades. Unsure how important. There is a red box on something that does fade
1632	PMC8144602	34031374	Microsecond fingerprint stimulated Raman spectroscopic imaging by ultrafast tuning and spatial-spectral learning	Nature Communications	5/24/2021	TRUE	N	N	N	Definitely problematic	
1633	PMC6393445	30814606	Determination of non-metallic inclusions in a continuous casting slab of ultra-low carbon interstitial free steel by applying of metallographic method, electrolytic method and RTO technique	Scientific Reports	2/27/2019	FALSE				Definitely okay	
1634	PMC3890589	24373137	Marker-trait association analysis of functional gene markers for provitamin A levels across diverse tropical yellow maize inbred lines	BMC Plant Biology	12/28/2013	TRUE	Y	N	N	Definitely okay	
1635	PMC7593233	32815988	Microbiomes in a manganese oxide producing ecosystem in the Ytterby mine, Sweden: impact on metal mobility	FEMS Microbiology Ecology	8/20/2020	FALSE				Gray-scale	
1636	PMC8987969	35319478	Social Media&#x02013;Delivered Patient Education to Enhance Self-management and Attitudes of Patients with Type 2 Diabetes During the COVID-19 Pandemic: Randomized Controlled Trial	Journal of Medical Internet Research	3/23/2022	FALSE				Definitely okay	
1637	PMC3842112	23712466	Detection of CD133 (prominin-1) in a human hepatoblastoma cell line (HuH-6 clone 5)	Microscopy Research and Technique	8/27/2013	FALSE				Gray-scale	
1638	PMC7751445	33365274	Postoperative Adjuvant Chemotherapy Improved the Prognosis in Locally Advanced Cervical Cancer Patients With Optimal Response to Neoadjuvant Chemotherapy	Frontiers in Oncology	12/7/2020	FALSE				Definitely okay	
1639	PMC8539389	34684393	Effects of a Calorie-Restricted Mediterranean-Style Diet on Plasma Lipids in Hypercholesterolemic South Korean Patients	Nutrients	9/27/2021	FALSE				Definitely okay	
1640	PMC5135815	27912786	Circulation of in Moldova	Parasites &#x00026; Vectors	12/3/2016	FALSE				Gray-scale	
1641	PMC9575273	36253871	Local CpG density affects the trajectory and variance of age-associated DNA methylation changes	Genome Biology	10/17/2022	FALSE				Definitely okay	
1642	PMC6759160	31550292	Serum E-selectin concentration is associated with risk of metabolic syndrome in females	PLoS ONE	9/24/2019	TRUE	Y	Y	N	Definitely okay	
1643	PMC5298575	28025483	Graphene-Based Long-Period Fiber Grating Surface Plasmon Resonance Sensor for High-Sensitivity Gas Sensing	Sensors (Basel, Switzerland)	12/22/2016	FALSE				Definitely okay	
1644	PMC8874401	35202121	Detection and Quantification of the Harmful Dinoflagellate (East Asian Ribotype) in the Coastal Waters of China	Toxins	1/25/2022	FALSE				Definitely okay	
1645	PMC8915690	35295444	Segmental Chiropractic Spinal Manipulation Does not Reduce Pain Amplification and the Associated Pain-Related Brain Activity in a Capsaicin-Heat Pain Model	Frontiers in Pain Research	11/1/2021	FALSE				Definitely okay	
1646	PMC6940867	31855191	Usefulness of Modern Activity Trackers for Monitoring Exercise Behavior in Chronic Cardiac Patients: Validation Study	JMIR mHealth and uHealth	12/19/2019	FALSE				Gray-scale	
1647	PMC9181684	35683169	Analysis of Mechanical Properties Related to Fiber Length of Closed-Loop-Recycled Offcuts of a Thermoplastic Fiber Composites (Organo Sheets)	Materials	5/29/2022	FALSE				Gray-scale	
1648	PMC6827211	31684894	First-year growth of 834 preterm infants in a Chinese population: a single-center study	BMC Pediatrics	11/4/2019	FALSE				Gray-scale	
1649	PMC4449522	25967535	Identification and functional characterization of Toll-like receptor 2&#x02013;1 in geese	BMC Veterinary Research	5/14/2015	FALSE				Definitely okay	
1650	PMC7517021	33286299	Rapidly Tuning the PID Controller Based on the Regional Surrogate Model Technique in the UAV Formation	Entropy	5/6/2020	FALSE				Definitely okay	
1651	PMC4499386	26221168	Curative Effects of Fuzheng Huayu on Liver Fibrosis and Cirrhosis: A Meta-Analysis	Evidence-based Complementary and Alternative Medicine : eCAM	6/28/2015	FALSE				Gray-scale	
1652	PMC5505110	28812836	Understanding Internal Accountability in Nigeria&#x02019;s Routine Immunization System: Perspectives From Government Officials at the National, State, and Local Levels	International Journal of Health Policy and Management	12/10/2016	FALSE				Gray-scale	
1653	PMC6703850	31433797	Impacts of ocean acidification on intertidal benthic foraminiferal growth and calcification	PLoS ONE	8/21/2019	FALSE				Gray-scale	
1654	PMC8395464	34445392	Bacterial Antigens Reduced the Inhibition Effect of Capsaicin on Cal 27 Oral Cancer Cell Proliferation	International Journal of Molecular Sciences	8/12/2021	TRUE	Y	Y	Y	Definitely okay	
1655	PMC3925124	24521244	Performance-improved thin-film a-Si:H/&#x003bc;c-Si:H tandem solar cells by two-dimensionally nanopatterning photoactive layer	Nanoscale Research Letters	2/12/2014	TRUE	Y	Y	N	Definitely okay	
1656	PMC7311655	32625211	Co-infection of Cytomegalovirus and Epstein-Barr Virus Diminishes the Frequency of CD56 NK Cells and Contributes to Suboptimal Control of EBV in Immunosuppressed Children With Post-transplant Lymphoproliferative Disorder	Frontiers in Immunology	6/17/2020	TRUE	N	N	N	Definitely problematic	
1657	PMC9678914	36425800	The prevalence and clinical significance of intracranial vertebral artery terminated in posterior inferior cerebellar artery: A multicenter hospital-based study in China	Frontiers in Neurology	11/8/2022	FALSE				Gray-scale	
1658	PMC6109785	30177910	Functional Connectivity Alterations Reveal Complex Mechanisms Based on Clinical and Radiological Status in Mild Relapsing Remitting Multiple Sclerosis	Frontiers in Neurology	8/20/2018	TRUE	NA	NA	Y	Definitely okay	
1659	PMC6133956	30233335	Enriched Environment Exposure Enhances Social Interactions and Oxytocin Responsiveness in Male Long-Evans Rats	Frontiers in Behavioral Neuroscience	9/5/2018	FALSE				Gray-scale	
1660	PMC9528767	35716036	Sprouty1 exerts a preventive effect on the initiation of psoriasis by inhibiting innate immune antimicrobial peptide cathelicidin and immunocytes	Cell Proliferation	6/18/2022	TRUE	Y	Y	N	Definitely okay	
1661	PMC4342890	25723335	Bridger: a new framework for transcriptome assembly using RNA-seq data	Genome Biology	2/11/2015	TRUE	Y	N	N	Definitely okay	
1662	PMC6513877	31134014	Variable Abundance and Distribution of Endosymbionts in Plant-Parasitic Nematode Field Populations	Frontiers in Microbiology	5/7/2019	TRUE	Y	Y	N	Definitely okay	
1663	PMC6390634	30808398	Astroglial-targeted expression of the fragile X CGG repeat premutation in mice yields RAN translation, motor deficits and possible evidence for cell-to-cell propagation of FXTAS pathology	Acta Neuropathologica Communications	2/26/2019	TRUE	N	N	N	Definitely problematic	
1664	PMC7765465	33334008	Rheological Behavior of (Licorice) Extract as a Function of Concentration and Temperature: A Critical Reappraisal	Foods	12/15/2020	FALSE				Gray-scale	
1665	PMC8585864	34764332	Remodeling tumor microenvironment by liposomal codelivery of DMXAA and simvastatin inhibits malignant melanoma progression	Scientific Reports	11/11/2021	FALSE				Gray-scale	
1666	PMC9175341	35676743	Effects of exercise habituation and aging on the intersegmental coordination of lower limbs during walking with sinusoidal speed change	Journal of Physiological Anthropology	6/8/2022	FALSE				Gray-scale	
1667	PMC5884017	29755785	Extracellular Pectinase from a Novel Bacterium Strain SD and Its Application in Fruit Juice Clarification	Enzyme Research	3/21/2018	FALSE				Gray-scale	
1668	PMC9592157	35696183	Age-related High-frequency Hearing Loss Is Not Associated With Horizontal Semicircular Canal Function	Ear and Hearing	10/18/2022	FALSE				Definitely okay	
1669	PMC6384553	30678293	Natural Keratin and Coconut Fibres from Industrial Wastes in Flame Retarded Thermoplastic Starch Biocomposites	Materials	1/22/2019	FALSE				Definitely okay	
1670	PMC4970189	27455277	Design and Field Experimentation of a Cooperative ITS Architecture Based on Distributed RSUs	Sensors (Basel, Switzerland)	7/22/2016	TRUE	Y	Y	N	Definitely okay	
1671	PMC7952697	33707514	Premating barriers in young sympatric snail species	Scientific Reports	3/11/2021	TRUE	N	N	N	Probably problematic	Unknown if the color of snail shell is important
1672	PMC8062547	33888729	Full-length SMRT transcriptome sequencing and microsatellite characterization in	Scientific Reports	4/22/2021	TRUE	N	N	N	Definitely problematic	The pink and purple fades into same color in simulated
1673	PMC6950406	31817994	Public Health from the Middle-Out: A New Analytical Perspective	International Journal of Environmental Research and Public Health	12/8/2019	FALSE				Definitely okay	
1674	PMC6399209	30863369	Nasal Resistome Development in Infants With Cystic Fibrosis in the First Year of Life	Frontiers in Microbiology	2/26/2019	FALSE				Definitely okay	
1675	PMC8990026	35402491	Minimally Invasive Isolated Tricuspid Valve Repair After Left-Sided Valve Surgery: A Single-Center Experience	Frontiers in Surgery	3/25/2022	FALSE				Definitely okay	
1676	PMC4012203	24817850	Structure-centered portal for child psychiatry research	Frontiers in Neuroinformatics	4/30/2014	FALSE				Definitely okay	
1677	PMC8065434	33808095	Culture-Independent Genotyping, Virulence and Antimicrobial Resistance Gene Identification of from Orthopaedic Implant-Associated Infections	Microorganisms	3/30/2021	FALSE				Definitely okay	
1678	PMC8041676	33029734	Thrombectomy for acute ischemic stroke patients with isolated distal internal carotid artery occlusion: a retrospective observational study	Neuroradiology	10/7/2021	TRUE	Y	Y	N	Definitely okay	
1679	PMC3855635	24324622	Expression and Function of Methylthioadenosine Phosphorylase in Chronic Liver Disease	PLoS ONE	12/6/2013	FALSE				Gray-scale	
1680	PMC8163164	34067324	Conformational Control of DNA Origami by DNA Oligomers, Intercalators and UV Light	Methods and Protocols	5/22/2021	FALSE				Definitely okay	
1681	PMC8209504	34159254	Dietary supplementary glutamine and L-carnitine enhanced the anti-cold stress of Arbor Acres broilers	Archives Animal Breeding	6/4/2021	TRUE	Y	NA	N	Definitely okay	
1682	PMC8255629	34235168	Predicting Obesity in Adults Using Machine Learning Techniques: An Analysis of Indonesian Basic Health Research 2018	Frontiers in Nutrition	6/21/2021					Gray-scale	
1683	PMC9147134	35628969	Simple Predictors for Cardiac Fibrosis in Patients with Type 2 Diabetes Mellitus: The Role of Circulating Biomarkers and Pulse Wave Velocity	Journal of Clinical Medicine	5/18/2022	FALSE				Gray-scale	
1684	PMC5965875	29791494	Sequential assessment of clinical and laboratory parameters in patients with hemorrhagic fever with renal syndrome	PLoS ONE	5/23/2018	FALSE				Gray-scale	
1685	PMC8617962	34830498	A Prospective Investigation of Predictive Parameters for Preoperative Volume Assessment in Breast Reconstruction	Journal of Clinical Medicine	11/9/2021	FALSE				Definitely okay	
1686	PMC7022994	31935803	Convenient Real-Time Monitoring of the Contamination of Surface Ion Trap	Nanomaterials	1/6/2020	TRUE	Y	Y	Y	Definitely okay	
1687	PMC8608784	34819782	Leaf epidermal micromorphology in ): diversity and taxonomic significance	PhytoKeys	11/15/2021	FALSE				Gray-scale	
1688	PMC5383275	28384224	Socio-environmental exposures and health outcomes among persons with sickle cell disease	PLoS ONE	4/6/2017	TRUE	N	N	N	Definitely problematic	
1689	PMC7397049	32707650	Novel Insights into Mercury Effects on Hemoglobin and Membrane Proteins in Human Erythrocytes	Molecules	7/19/2020	FALSE				Gray-scale	
1690	PMC8301076	34206982	Effect of Cryotherapy Temperature on the Extension Performance of Healthy Adults&#x02019; Legs	Biology	6/26/2021	FALSE				Definitely okay	
